P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIME Type,Size,ID,url
4,"Fasilitas Pengurangan Pajak Penghasilan Badan Dalam Rangka Penyelenggaraan Kegiatan Praktik Kerja, Pemagangan, dan/atau Pembelajaran",,PPh,18,Fasilitas dibidang PPh,,,Wed Feb 19 2020 16:19:51 GMT+0800 (HKT),Wed Feb 19 2020 16:20:05 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),154C-9PW7wDK59LDRFwDqNyhxJQL1WHs4F2o6YyO8J_8,https://docs.google.com/document/d/154C-9PW7wDK59LDRFwDqNyhxJQL1WHs4F2o6YyO8J_8/edit?usp=drivesdk
3,Fasilitas Pengurangan Pajak Penghasilan Badan Dalam Rangka Penanaman Modal Baru Industri Pionir,,PPh,18,Fasilitas dibidang PPh,,,Wed Feb 19 2020 16:19:44 GMT+0800 (HKT),Wed Feb 19 2020 16:19:59 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1fCn1z3Vvdq5LFQFK6GXLt78UvfWq8BCSLP4ZUOSVWZY,https://docs.google.com/document/d/1fCn1z3Vvdq5LFQFK6GXLt78UvfWq8BCSLP4ZUOSVWZY/edit?usp=drivesdk
2,Fasilitas PPh untuk Penanaman Modal di Bidang Usaha Tertentu dan/atau Daerah tertentu,,PPh,18,Fasilitas dibidang PPh,,,Wed Feb 19 2020 16:19:35 GMT+0800 (HKT),Wed Feb 19 2020 16:19:52 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1RCFJu5vpy5_5IhC11Fb0flnLetezotXDXqpEapOthc4,https://docs.google.com/document/d/1RCFJu5vpy5_5IhC11Fb0flnLetezotXDXqpEapOthc4/edit?usp=drivesdk
1,Penurunan tarif PPh Bagi WPDN berbentuk Perseroan Terbuka,,PPh,18,Fasilitas dibidang PPh,,,Wed Feb 19 2020 16:19:28 GMT+0800 (HKT),Wed Feb 19 2020 16:19:42 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),16ZGDa5q2XIdbsv4eX7W-Wqeg4SCzJpip5-xyp88pRjQ,https://docs.google.com/document/d/16ZGDa5q2XIdbsv4eX7W-Wqeg4SCzJpip5-xyp88pRjQ/edit?usp=drivesdk
1,Terjadinya Hubungan Istimewa,,PPh,17,Hubungan Istimewa,,,Wed Feb 19 2020 16:17:59 GMT+0800 (HKT),Wed Feb 19 2020 16:18:13 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1hfwTvyS_4luYmKW0ibKmNQmyJrr2QqUg77GfPvuHVrM,https://docs.google.com/document/d/1hfwTvyS_4luYmKW0ibKmNQmyJrr2QqUg77GfPvuHVrM/edit?usp=drivesdk
1,BUT dalam UU PPh,,PPh,16,BUT,,,Wed Feb 19 2020 16:16:57 GMT+0800 (HKT),Thu Feb 20 2020 15:19:46 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1s9mOtu6QhZ1uhrnjkLk0qmIqa7e5VZTaY1xfFsoEMN8,https://docs.google.com/document/d/1s9mOtu6QhZ1uhrnjkLk0qmIqa7e5VZTaY1xfFsoEMN8/edit?usp=drivesdk
3,Objek Pajak BUT dan Branch Profit Tax,,PPh,16,BUT,,,Wed Feb 19 2020 16:17:12 GMT+0800 (HKT),Wed Feb 19 2020 16:17:25 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1IRv_rBdXDc4KojAi5eSpW4eK5J77nOTz35Q88llixas,https://docs.google.com/document/d/1IRv_rBdXDc4KojAi5eSpW4eK5J77nOTz35Q88llixas/edit?usp=drivesdk
4,Biaya BUT yang boleh / tidak boleh dikurangkan,,PPh,16,BUT,,,Wed Feb 19 2020 16:17:18 GMT+0800 (HKT),Wed Feb 19 2020 16:17:22 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1vo-iaofJLywNZnfj5nTNBrZGPqsVW5JQD_o1dRklZfc,https://docs.google.com/document/d/1vo-iaofJLywNZnfj5nTNBrZGPqsVW5JQD_o1dRklZfc/edit?usp=drivesdk
2,BUT dalam P3B,,PPh,16,BUT,,,Wed Feb 19 2020 16:17:03 GMT+0800 (HKT),Wed Feb 19 2020 16:17:18 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1QJesec-qCS0NobWHFxza1cy4GH65RQkkrxEDFfLTrQs,https://docs.google.com/document/d/1QJesec-qCS0NobWHFxza1cy4GH65RQkkrxEDFfLTrQs/edit?usp=drivesdk
10,"DGT 3, DGT 4, dan DGT 5 (Ketentuan ini Sudah dicabut sejak 30 Mei 2013)",,PPh,15,PPh Pasal 26,,,Wed Feb 19 2020 16:15:06 GMT+0800 (HKT),Wed Feb 19 2020 16:15:21 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),15yufFrlBnaSBBBzih0PI-bXEHCxhTMXiKbq2yGfxGss,https://docs.google.com/document/d/15yufFrlBnaSBBBzih0PI-bXEHCxhTMXiKbq2yGfxGss/edit?usp=drivesdk
