P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIME Type,Size,ID,url
4,Penerbitan Surat Keterangan Pemanfaatan JKP dari luar Daerah Pabean di dalam Daerah Pabean (SKJLN),,PPN,15,Impor BKP,,,Thu Feb 20 2020 09:08:13 GMT+0800 (HKT),Thu Feb 20 2020 09:08:21 GMT+0800 (HKT),document,0,13mRmU4RXXTbxdslbKLQTCJ6l7hvzknkmOyWvSoc_hCc,https://docs.google.com/document/d/13mRmU4RXXTbxdslbKLQTCJ6l7hvzknkmOyWvSoc_hCc/edit?usp=drivesdk
3,Impor Atas Dasar Inden,,PPN,15,Impor BKP,,,Thu Feb 20 2020 09:07:59 GMT+0800 (HKT),Thu Feb 20 2020 09:08:09 GMT+0800 (HKT),document,0,1Nl1eb6so54EroXJqb7zuzhqlODyj79-v5uzysyPTcn4,https://docs.google.com/document/d/1Nl1eb6so54EroXJqb7zuzhqlODyj79-v5uzysyPTcn4/edit?usp=drivesdk
2,Impor Sementara,,PPN,15,Impor BKP,,,Thu Feb 20 2020 09:07:43 GMT+0800 (HKT),Thu Feb 20 2020 09:07:52 GMT+0800 (HKT),document,0,1N-rLv2UdIplAYPu2OJK_-ZVOMRv15GkGH0M3hussovY,https://docs.google.com/document/d/1N-rLv2UdIplAYPu2OJK_-ZVOMRv15GkGH0M3hussovY/edit?usp=drivesdk
1,Impor BKP,,PPN,15,Impor BKP,,,Thu Feb 20 2020 09:07:37 GMT+0800 (HKT),Thu Feb 20 2020 09:07:50 GMT+0800 (HKT),document,0,1Kqa_GI95r8AqJQsDIR5cQThtYGDdte2wLEVpZ7FY5d0,https://docs.google.com/document/d/1Kqa_GI95r8AqJQsDIR5cQThtYGDdte2wLEVpZ7FY5d0/edit?usp=drivesdk
8,PPN atas Penyerahan Pupuk Tertentu,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:07:02 GMT+0800 (HKT),Thu Feb 20 2020 09:07:15 GMT+0800 (HKT),document,0,1adGPUNfqpmq18u5MX1uSlF1nY4sLQJ8rtep0RQMNfR4,https://docs.google.com/document/d/1adGPUNfqpmq18u5MX1uSlF1nY4sLQJ8rtep0RQMNfR4/edit?usp=drivesdk
7,Kontraktor Perjanjian Karya Pengusahaan Pertambangan Batubara Generasi I (Pajak penjualan dan PPN),,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:52 GMT+0800 (HKT),Thu Feb 20 2020 09:07:07 GMT+0800 (HKT),document,0,1oILi2EdgotgxVjtdEMfGV_Hz5pk-ndmslwpqItCrV_s,https://docs.google.com/document/d/1oILi2EdgotgxVjtdEMfGV_Hz5pk-ndmslwpqItCrV_s/edit?usp=drivesdk
6,"Pengenaan PPN atas Produksi Hasil Tembakau (Rokok, dsb)",,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:46 GMT+0800 (HKT),Thu Feb 20 2020 09:07:00 GMT+0800 (HKT),document,0,1Zu-Kn24joQOnepKnsOKRc3iXPemdrJ3ZISJMeob92IA,https://docs.google.com/document/d/1Zu-Kn24joQOnepKnsOKRc3iXPemdrJ3ZISJMeob92IA/edit?usp=drivesdk
5,PPN atas Insentif/Bonus dari main dealer kepada dealer/distributor,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:33 GMT+0800 (HKT),Thu Feb 20 2020 09:06:51 GMT+0800 (HKT),document,0,17zISNq7js8YP6sIikv2RuUES9z_DWXTAEYuhF1ml8mU,https://docs.google.com/document/d/17zISNq7js8YP6sIikv2RuUES9z_DWXTAEYuhF1ml8mU/edit?usp=drivesdk
4,PPN atas penyerahan Obat oleh Apotik atau instalasi farmasi (kamar obat) Rumah Sakit,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:25 GMT+0800 (HKT),Thu Feb 20 2020 09:06:38 GMT+0800 (HKT),document,0,1DJB4QrR7_pp8cNlr9jqDnBhyZXQ_O_Gm1INIleaDWl0,https://docs.google.com/document/d/1DJB4QrR7_pp8cNlr9jqDnBhyZXQ_O_Gm1INIleaDWl0/edit?usp=drivesdk
3,Penebusan Stiker Lunas PPN untuk Media Rekaman Suara/ Gambar,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:14 GMT+0800 (HKT),Thu Feb 20 2020 09:06:28 GMT+0800 (HKT),document,0,1OxVWC5UNhgx2_1ippBLwUuh3H-Q63YqvAehYzwZemto,https://docs.google.com/document/d/1OxVWC5UNhgx2_1ippBLwUuh3H-Q63YqvAehYzwZemto/edit?usp=drivesdk
2,VAT Refund bagi Turis Asing,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:06:05 GMT+0800 (HKT),Thu Feb 20 2020 09:06:18 GMT+0800 (HKT),document,0,1dn3YgyBZGCCKejJugVc_IPoRRONZ6UZos-beWR_IwQc,https://docs.google.com/document/d/1dn3YgyBZGCCKejJugVc_IPoRRONZ6UZos-beWR_IwQc/edit?usp=drivesdk
1,Pengusaha Emas Perhiasan,,PPN,14,Perlakuan PPN atas Jenis Barang dan Jasa Tertentu,,,Thu Feb 20 2020 09:05:58 GMT+0800 (HKT),Thu Feb 20 2020 09:06:12 GMT+0800 (HKT),document,0,1WBa5rH1A8TfPT4mM4aHe9PSRa6bS5W3zK1abB52IYBc,https://docs.google.com/document/d/1WBa5rH1A8TfPT4mM4aHe9PSRa6bS5W3zK1abB52IYBc/edit?usp=drivesdk
4,Penetapan PKP Resiko Rendah (Ketentuan Lama),,PPN,13,Restitusi PPN,,,Thu Feb 20 2020 09:05:21 GMT+0800 (HKT),Thu Feb 20 2020 09:05:36 GMT+0800 (HKT),document,0,1oz5nBwWdQLHcB39a2TWDm129r62awVbXJh-MoXEYtKU,https://docs.google.com/document/d/1oz5nBwWdQLHcB39a2TWDm129r62awVbXJh-MoXEYtKU/edit?usp=drivesdk
